iter	Passed	Remaining
0	160	79858
1	312	77807
2	474	78656
3	581	72109
4	703	69630
5	846	69709
6	961	67748
7	1104	67950
8	1204	65728
9	1326	65019
10	1435	63807
11	1571	63891
12	1698	63643
13	1864	64733
14	2044	66091
15	2191	66297
16	2347	66682
17	2479	66388
18	2630	66586
19	2726	65435
20	2858	65203
21	2993	65047
22	3140	65136
23	3264	64751
24	3379	64219
25	3569	65081
26	3740	65529
27	3877	65358
28	4000	64974
29	4170	65332
30	4299	65053
31	4437	64897
32	4592	64996
33	4720	64693
34	4826	64129
35	4987	64285
36	5088	63680
37	5231	63599
38	5393	63755
39	5577	64138
40	5747	64347
41	5908	64430
42	6042	64219
43	6183	64078
44	6328	63993
45	6458	63738
46	6562	63255
47	6704	63133
48	6847	63022
49	6995	62956
50	7142	62880
51	7283	62752
52	7400	62417
53	7590	62692
54	7710	62382
55	7856	62293
56	8006	62222
57	8147	62089
58	8322	62207
59	8469	62110
60	8615	62005
61	8717	61584
62	8829	61248
63	8987	61230
64	9144	61200
65	9272	60971
66	9438	61001
67	9632	61192
68	9764	60991
69	9900	60820
70	10017	60527
71	10158	60387
72	10326	60405
73	10459	60213
74	10572	59910
75	10724	59833
76	10844	59576
77	11007	59551
78	11117	59248
79	11260	59117
80	11440	59178
81	11606	59165
82	11745	59009
83	11897	58919
84	12037	58769
85	12171	58594
86	12317	58473
87	12450	58289
88	12576	58079
89	12720	57947
90	12840	57713
91	12993	57622
92	13138	57498
93	13269	57313
94	13396	57112
95	13571	57112
96	13714	56980
97	13862	56865
98	14053	56923
99	14187	56750
100	14328	56605
101	14486	56524
102	14640	56428
103	14781	56284
104	14896	56038
105	15024	55845
106	15147	55633
107	15311	55573
108	15415	55297
109	15607	55336
110	15736	55147
111	15881	55017
112	16030	54901
113	16157	54707
114	16321	54640
115	16453	54467
116	16570	54243
117	16723	54139
118	16855	53965
119	17006	53853
120	17119	53621
121	17266	53496
122	17435	53441
123	17600	53368
124	17733	53200
125	17851	52987
126	17991	52841
127	18166	52796
128	18291	52605
129	18432	52462
130	18584	52348
131	18738	52241
132	18884	52108
133	19014	51936
134	19143	51757
135	19314	51694
136	19455	51549
137	19606	51430
138	19766	51336
139	19905	51186
140	20063	51084
141	20186	50893
142	20317	50721
143	20484	50642
144	20633	50516
145	20793	50417
146	20909	50211
147	21060	50088
148	21210	49965
149	21321	49749
150	21442	49559
151	21628	49517
152	21776	49387
153	21911	49228
154	22079	49143
155	22197	48948
156	22338	48803
157	22482	48664
158	22595	48459
159	22739	48321
160	22893	48205
161	23032	48055
162	23146	47854
163	23271	47677
164	23442	47594
165	23614	47513
166	23753	47365
167	23879	47190
168	23983	46974
169	24118	46818
170	24272	46699
171	24432	46591
172	24536	46377
173	24682	46243
174	24779	46019
175	24925	45886
176	25062	45735
177	25227	45636
178	25386	45525
179	25556	45433
180	25688	45274
181	25813	45102
182	25965	44978
183	26121	44861
184	26234	44669
185	26390	44551
186	26541	44424
187	26648	44224
188	26769	44049
189	26934	43945
190	27052	43765
191	27213	43655
192	27364	43527
193	27513	43398
194	27636	43227
195	27810	43133
196	27951	42991
197	28082	42832
198	28221	42686
199	28378	42567
200	28482	42369
201	28616	42216
202	28750	42063
203	28914	41954
204	29059	41818
205	29183	41650
206	29345	41537
207	29532	41458
208	29655	41290
209	29805	41159
210	29907	40962
211	30051	40825
212	30202	40695
213	30365	40581
214	30535	40476
215	30664	40317
216	30801	40170
217	30961	40050
218	31157	39978
219	31323	39866
220	31480	39742
221	31649	39632
222	31819	39524
223	31957	39375
224	32106	39241
225	32230	39076
226	32376	38937
227	32528	38805
228	32679	38673
229	32774	38474
230	32898	38310
231	33051	38180
232	33185	38028
233	33335	37894
234	33461	37732
235	33658	37651
236	33813	37522
237	33925	37346
238	34045	37179
239	34187	37036
240	34319	36882
241	34463	36741
242	34563	36554
243	34701	36408
244	34869	36292
245	34992	36130
246	35122	35976
247	35245	35814
248	35352	35636
249	35526	35526
250	35659	35375
251	35760	35193
252	35872	35022
253	36019	34885
254	36153	34735
255	36262	34562
256	36359	34378
257	36484	34222
258	36598	34054
259	36736	33910
260	36840	33734
261	36971	33584
262	37108	33440
263	37240	33290
264	37417	33181
265	37574	33054
266	37705	32904
267	37845	32761
268	37962	32599
269	38116	32469
270	38249	32321
271	38381	32172
272	38506	32017
273	38653	31881
274	38770	31721
275	38902	31572
276	39046	31434
277	39170	31280
278	39286	31119
279	39448	30995
280	39590	30855
281	39722	30707
282	39845	30552
283	39974	30403
284	40116	30263
285	40285	30143
286	40436	30010
287	40540	29842
288	40690	29708
289	40832	29568
290	40928	29395
291	41091	29270
292	41224	29124
293	41340	28966
294	41429	28790
295	41561	28643
296	41684	28491
297	41836	28358
