iter	Logloss
0	0.6235440606
1	0.5609754356
2	0.5082223579
3	0.4608226693
4	0.4248452119
5	0.3915543641
6	0.3690423095
7	0.3443886042
8	0.3237515156
9	0.3100398183
10	0.2978039553
11	0.2847089049
12	0.2707204206
13	0.2615036022
14	0.2515947622
15	0.243671401
16	0.2364212181
17	0.2291636575
18	0.2233805124
19	0.218206073
20	0.213790819
21	0.2097535273
22	0.205424695
23	0.201276761
24	0.1989339409
25	0.1960460201
26	0.1933032379
27	0.1910936884
28	0.1889112935
29	0.1866850939
30	0.1847983536
31	0.1829708704
32	0.1806444499
33	0.179110059
34	0.1781749998
35	0.1767927928
36	0.1758690605
37	0.1745693037
38	0.1736390081
39	0.1732550038
40	0.1726223622
41	0.1718228607
42	0.1706861716
43	0.1698596717
44	0.1693811707
45	0.1688467282
46	0.1684159084
47	0.1676888114
48	0.1667103378
49	0.1660104637
50	0.1655606738
51	0.1650992611
52	0.1648286406
53	0.16432841
54	0.1638091426
55	0.1635592625
56	0.1632540499
57	0.1630637041
58	0.1626904564
59	0.1622674118
60	0.1619221053
61	0.1615995757
62	0.1613550508
63	0.161027402
64	0.1608266326
65	0.160794922
66	0.1605272669
67	0.160344833
68	0.1599843228
69	0.1596134804
70	0.1595105044
71	0.1592599681
72	0.1587644748
73	0.1585187175
74	0.1584228881
75	0.15831698
76	0.1581758466
77	0.1577368653
78	0.1575830913
79	0.157452098
80	0.1573345772
81	0.1571127965
82	0.1570222645
83	0.1569000547
84	0.1566389685
85	0.1565205316
86	0.1564087002
87	0.1562094652
88	0.1561093699
89	0.1560103224
90	0.1558557763
91	0.1557488902
92	0.1556809447
93	0.1555784841
94	0.1552643273
95	0.1551740236
96	0.1550121916
97	0.1549210423
98	0.1548140456
99	0.1545906282
100	0.1544556836
101	0.1543679958
102	0.1542511077
103	0.1541454712
104	0.1540509213
105	0.1539235772
106	0.1538496469
107	0.1537590911
108	0.1536596218
109	0.1535797055
110	0.1534740007
111	0.1533458259
112	0.1532400197
113	0.1531441085
114	0.1530249705
115	0.1529319399
116	0.1528324348
117	0.152744277
118	0.1526413838
119	0.1525094544
120	0.1523423983
121	0.1522344308
122	0.1521195597
123	0.1520085684
124	0.1518978719
125	0.151824939
126	0.1517171747
127	0.1516554369
128	0.1515553792
129	0.1512177405
130	0.1511367486
131	0.1510463841
132	0.1509475284
133	0.1508663546
134	0.1507750239
135	0.1506595734
136	0.1505606386
137	0.1504755215
138	0.1503704727
139	0.150320289
140	0.1502660543
141	0.150121389
142	0.1500124871
143	0.1498988552
144	0.1498137149
145	0.1496992438
146	0.1495916709
147	0.1495158182
148	0.1494314729
149	0.1493448641
150	0.1492535203
151	0.1491251317
152	0.1489787822
153	0.1488689995
154	0.1487829743
155	0.148703439
156	0.1486403722
157	0.1485506428
158	0.1484647648
159	0.1483591853
160	0.1482712835
161	0.1481504135
162	0.1480583168
163	0.1479984892
164	0.1478979861
165	0.1477979017
166	0.1476970844
167	0.1474469889
168	0.1473291101
169	0.1472385364
170	0.1471348867
171	0.1470349185
172	0.1469371664
173	0.1468170702
174	0.1467592545
175	0.1466903195
176	0.1466106043
177	0.1465116137
178	0.1464593008
179	0.1463934163
180	0.1463196626
181	0.1462231323
182	0.1461219859
183	0.1460202447
184	0.1459300875
185	0.1458616497
186	0.1457563004
187	0.1456723727
188	0.1456070473
189	0.1455318119
190	0.145430151
191	0.1453457447
192	0.1452759228
193	0.1451868148
194	0.1451064453
195	0.145040473
196	0.1449468315
197	0.1448456401
198	0.1447867447
199	0.1447347695
200	0.1446386724
201	0.1445470741
202	0.1444993956
203	0.1444270277
204	0.1443367061
205	0.1442627449
206	0.1441826897
207	0.1440744286
208	0.1439838889
209	0.1437691251
210	0.1436566276
211	0.1436091065
212	0.1434865914
213	0.1433938803
214	0.1432993431
215	0.1432016492
216	0.1430733499
217	0.1430206966
218	0.1429939237
219	0.1428889813
220	0.1428085096
221	0.1426307575
222	0.1425585539
223	0.1424906608
224	0.1424097559
225	0.1422976139
226	0.1422040857
227	0.1421247047
228	0.1420819708
229	0.1420077443
230	0.1419055009
231	0.1418689455
232	0.1417935515
233	0.1417025368
234	0.1416119435
235	0.1415417302
236	0.1414888781
237	0.1413827188
238	0.1413305706
239	0.1412949659
240	0.1411959094
241	0.1410688276
242	0.1409899021
243	0.1409327233
244	0.1407668546
245	0.1406786065
246	0.1405699375
247	0.1404958085
248	0.1403828988
249	0.1403231196
250	0.1402411206
251	0.1401906883
252	0.1400896221
253	0.1400177402
254	0.1399640217
255	0.1398555092
256	0.139763949
257	0.1396454104
258	0.1395299235
259	0.1393908079
260	0.1393078183
261	0.1392163025
262	0.1391212551
263	0.1390519119
264	0.1388745769
265	0.1387985168
266	0.1387249903
267	0.1386423834
268	0.1385237145
269	0.1384156086
270	0.1383244151
271	0.1382484198
272	0.1381743252
273	0.1380648516
274	0.1379636047
275	0.1378919138
276	0.1378002931
277	0.1377176806
278	0.1376821689
279	0.1375264288
280	0.1374338557
281	0.1373717788
282	0.1372834613
283	0.1372145226
284	0.1371002681
285	0.1370643597
286	0.1369803741
287	0.136916369
288	0.1368242928
289	0.1367376051
290	0.1366661986
291	0.1366241415
292	0.1365260905
293	0.1364526772
294	0.1363871061
295	0.1363201785
296	0.1362826007
297	0.1361995936
298	0.1361232542
299	0.1360013028
300	0.1359021378
301	0.1357898546
302	0.1357319012
303	0.1356382179
304	0.1355970047
305	0.1355119841
306	0.1354197691
307	0.1353598862
308	0.1353104036
309	0.1352404922
310	0.1350862536
311	0.1350153633
312	0.1349474057
313	0.1348797483
314	0.1347859599
315	0.1347263923
316	0.1346648228
317	0.1346035736
318	0.1345443321
319	0.1345000337
320	0.1344322967
321	0.1343590326
322	0.1342733336
323	0.1341150684
324	0.1340592884
325	0.1340097163
326	0.1339475101
327	0.133906226
328	0.1338122698
329	0.1337443098
330	0.133681431
331	0.1336223739
332	0.1335285556
333	0.1334382892
334	0.1333935512
335	0.1333373439
336	0.13328341
337	0.133179658
338	0.1330968862
339	0.1330169565
340	0.1329851901
341	0.1329102068
342	0.1328194735
343	0.132707464
344	0.1326038708
345	0.1325642057
346	0.1324969118
347	0.132432726
348	0.132347776
349	0.1322927099
350	0.1322223711
351	0.1320958672
352	0.1320351696
353	0.1319627218
354	0.1318513799
355	0.1318000558
356	0.1317295454
357	0.1316714724
358	0.131623853
359	0.1315264605
360	0.1314460871
361	0.1313780064
362	0.1313267841
363	0.1312615342
364	0.1312019844
365	0.1311507176
366	0.1311024632
367	0.1310176418
368	0.1309744908
369	0.1308947131
370	0.1308255574
371	0.1307659396
372	0.1307044753
373	0.1306308198
374	0.1305409971
375	0.1304711394
376	0.1304267464
377	0.1303539773
378	0.1302693055
379	0.1302178979
380	0.1301621445
381	0.1300437941
382	0.1299542263
